,idDem,cantMujeres,porcentajeMujeres
325,dem326,1122.0,48.09
326,dem327,6641.0,50.42
327,dem328,3543.0,32.75
328,dem329,12363.0,50.64
329,dem330,2326.0,46.77
330,dem331,4046.0,48.58
331,dem332,7561.0,48.93
332,dem333,2472.0,48.74
333,dem334,3984.0,48.63
334,dem335,6388.0,49.59
335,dem336,5446.0,50.64
336,dem337,4027.0,49.22
337,dem338,5704.0,49.93
338,dem339,16964.0,50.65
339,dem340,10744.0,49.68
340,dem341,6632.0,51.62
341,dem342,339849.0,51.48
342,dem343,13168.0,51.07
343,dem344,7849.0,50.03
344,dem345,8579.0,50.4
345,dem346,2906.0,49.36
346,dem347,11084.0,51.16
347,dem348,3855.0,47.79
348,dem349,2097.0,48.37
349,dem350,1599.0,50.63
350,dem351,7838.0,49.81
351,dem352,20160.0,50.41
352,dem353,3609.0,46.77
353,dem354,21869.0,51.39
354,dem355,3320.0,47.8
355,dem356,8526.0,49.61
356,dem357,13428.0,49.97
357,dem358,67246.0,51.51
358,dem359,1286471.0,53.0
359,dem360,9833.0,48.28
360,dem361,1243.0,46.12
361,dem362,15365.0,50.83
362,dem363,12934.0,49.82
363,dem364,2872.0,49.9
364,dem365,8808.0,48.08
365,dem366,61590.0,50.9
366,dem367,26211.0,50.44
367,dem368,270925.0,51.88
368,dem369,3856.0,47.97
369,dem370,4500.0,48.11
370,dem371,13988.0,48.24
371,dem372,4460.0,48.46
372,dem373,30070.0,50.61
373,dem374,46486.0,51.53
374,dem375,40174.0,51.58
375,dem376,11400.0,49.47
376,dem377,26029.0,50.19
377,dem378,12158.0,49.81
378,dem379,10350.0,49.91
379,dem380,26387.0,51.08
380,dem381,4863.0,49.86
381,dem382,4042.0,49.82
382,dem383,10842.0,50.49
383,dem384,4125.0,50.18
384,dem385,6926.0,49.5
385,dem386,12589.0,48.81
386,dem387,19581.0,49.81
387,dem388,7165.0,49.83
388,dem389,8182.0,45.32
389,dem390,14200.0,49.97
390,dem391,11999.0,51.03
391,dem392,69117.0,51.02
392,dem393,4316.0,47.79
393,dem394,8008.0,49.29
394,dem395,6573.0,50.58
395,dem396,10655.0,49.51
396,dem397,18258.0,50.27
397,dem398,6005.0,48.45
398,dem399,18939.0,49.97
399,dem400,18111.0,49.86
400,dem401,7516.0,49.93
401,dem402,13637.0,50.57
402,dem403,5477.0,50.83
403,dem404,64620.0,51.88
404,dem405,6906.0,50.04
405,dem406,3204.0,49.31
406,dem407,5968.0,50.53
407,dem408,5912.0,50.96
408,dem409,4590.0,50.48
409,dem410,3675.0,48.3
410,dem411,21355.0,51.41
411,dem412,11083.0,49.17
412,dem413,9272.0,48.7
413,dem414,12320.0,49.98
414,dem415,2370.0,47.2
415,dem416,2617.0,48.89
416,dem417,1836.0,48.47
417,dem418,2678.0,46.9
418,dem419,6626.0,49.15
419,dem420,7349.0,50.86
420,dem421,10467.0,48.56
421,dem422,11869.0,50.45
422,dem423,3208.0,47.62
423,dem424,16602.0,48.19
424,dem425,18377.0,49.41
425,dem426,18441.0,50.62
426,dem427,5713.0,48.04
427,dem428,12522.0,50.93
428,dem429,16575.0,50.49
429,dem430,14475.0,50.77
430,dem431,36002.0,50.87
431,dem432,11070.0,48.96
432,dem433,4082.0,49.26
433,dem434,24797.0,49.04
434,dem435,5151.0,49.98
435,dem436,9154.0,47.69
436,dem437,6061.0,49.14
437,dem438,4798.0,47.46
438,dem439,3235.0,49.04
439,dem440,4268.0,49.0
440,dem441,279997.0,52.23
441,dem442,17041.0,50.79
442,dem443,10751.0,49.2
443,dem444,24773.0,49.13
444,dem445,7729.0,49.88
445,dem446,35136.0,50.72
446,dem447,7523.0,48.02
447,dem448,147975.0,51.62
448,dem449,4883.0,51.36
449,dem450,4038.0,50.94
450,dem451,1053.0,49.16
451,dem452,11853.0,47.71
452,dem453,3452.0,48.6
453,dem454,17066.0,51.77
454,dem455,15964.0,47.78
455,dem456,1160.0,46.51
456,dem457,2079.0,48.2
457,dem458,30231.0,52.09
458,dem459,16703.0,49.29
459,dem460,12631.0,47.23
460,dem461,2575.0,48.72
461,dem462,91390.0,51.46
462,dem463,2281.0,47.79
463,dem464,5480.0,49.8
464,dem465,5245.0,49.59
465,dem466,2374.0,47.49
466,dem467,11112.0,52.07
467,dem468,6971.0,48.13
468,dem469,2337.0,47.49
469,dem470,5077.0,48.44
470,dem471,2783.0,47.17
471,dem472,85009.0,50.95
472,dem473,1913.0,47.73
473,dem474,1680.0,48.78
474,dem475,10333.0,48.25
475,dem476,6530.0,50.12
476,dem477,2349.0,46.9
477,dem478,1867.0,50.69
478,dem479,16385.0,48.55
479,dem480,1392.0,48.28
480,dem481,6185.0,50.47
481,dem482,993.0,49.21
482,dem483,2722.0,49.68
483,dem484,1065.0,48.72
484,dem485,998.0,50.33
485,dem486,2807.0,46.76
486,dem487,106519.0,51.34
487,dem488,5476.0,51.3
488,dem489,4087.0,48.84
489,dem490,901.0,48.49
490,dem491,312719.0,52.5
491,dem492,7950.0,50.35
492,dem493,13663.0,49.11
493,dem494,9846.0,49.68
494,dem495,13772.0,50.17
495,dem496,14327.0,49.82
496,dem497,8547.0,49.27
497,dem498,9744.0,50.8
498,dem499,5169.0,49.33
499,dem500,24575.0,50.1
500,dem501,8644.0,48.4
501,dem502,7690.0,49.75
502,dem503,19750.0,50.17
503,dem504,15425.0,49.83
504,dem505,19413.0,50.27
505,dem506,14441.0,50.24
506,dem507,17571.0,49.82
507,dem508,20790.0,49.71
508,dem509,11065.0,49.09
509,dem510,10049.0,48.74
510,dem511,31270.0,49.74
511,dem512,58887.0,51.4
512,dem513,263718.0,51.34
513,dem514,11251.0,53.58
514,dem515,12544.0,49.9
515,dem516,13037.0,49.45
516,dem517,18118.0,50.48
517,dem518,15911.0,49.37
518,dem519,7071.0,50.22
519,dem520,57290.0,51.25
520,dem521,5606.0,48.77
521,dem522,22318.0,53.59
522,dem523,4363.0,48.46
523,dem524,19107.0,51.39
524,dem525,22648.0,48.94
525,dem526,19528.0,49.42
526,dem527,16190.0,51.02
527,dem528,11364.0,49.62
528,dem529,9253.0,49.32
529,dem530,5217.0,48.88
530,dem531,13900.0,50.33
531,dem532,10613.0,53.47
532,dem533,26244.0,48.74
533,dem534,12620.0,49.8
534,dem535,15159.0,50.29
535,dem536,20718.0,48.82
536,dem537,15943.0,50.21
537,dem538,18393.0,49.28
538,dem539,167320.0,51.96
539,dem540,6714.0,52.54
540,dem541,34312.0,51.84
541,dem542,5180.0,50.51
542,dem543,14851.0,51.17
543,dem544,2373.0,48.68
544,dem545,9863.0,49.03
545,dem546,9628.0,49.66
546,dem547,26052.0,50.71
547,dem548,7715.0,49.46
548,dem549,3049.0,50.19
549,dem550,10494.0,49.88
550,dem551,4432.0,49.05
551,dem552,8824.0,49.56
552,dem553,2909.0,49.17
553,dem554,37556.0,51.47
554,dem555,5673.0,49.77
555,dem556,26906.0,51.97
556,dem557,5238.0,49.26
557,dem558,5560.0,52.79
558,dem559,18236.0,50.09
559,dem560,11490.0,50.16
560,dem561,232764.0,52.83
561,dem562,40077.0,50.97
562,dem563,6102.0,48.79
563,dem564,13424.0,49.29
564,dem565,8447.0,49.37
565,dem566,12200.0,49.47
566,dem567,3001.0,47.27
567,dem568,5969.0,48.62
568,dem569,250133.0,52.95
569,dem570,55323.0,51.56
570,dem571,7698.0,48.3
571,dem572,26770.0,47.37
572,dem573,12412.0,47.56
573,dem574,1718.0,48.57
574,dem575,3679.0,49.44
575,dem576,4995.0,47.57
576,dem577,2685.0,47.71
577,dem578,27193.0,52.05
578,dem579,64750.0,51.97
579,dem580,48914.0,52.17
580,dem581,5725.0,47.94
581,dem582,3108.0,48.24
582,dem583,3504.0,49.44
583,dem584,13846.0,49.03
584,dem585,2260.0,48.16
585,dem586,5777.0,47.97
586,dem587,9282.0,51.07
587,dem588,1321.0,46.27
588,dem589,3041.0,46.99
589,dem590,4089.0,47.94
590,dem591,4560.0,46.25
591,dem592,16408.0,49.72
592,dem593,386360.0,51.57
593,dem594,22768.0,50.99
594,dem595,5557.0,50.77
595,dem596,129923.0,50.79
596,dem597,3660.0,50.3
597,dem598,6591.0,49.44
598,dem599,7783.0,51.77
599,dem600,10200.0,50.54
600,dem601,14368.0,50.63
601,dem602,8851.0,51.06
602,dem603,5197.0,50.97
603,dem604,12356.0,49.0
604,dem605,16037.0,50.43
605,dem606,3300.0,50.92
606,dem607,60239.0,51.93
607,dem608,3933.0,51.44
608,dem609,3585.0,50.01
609,dem610,11173.0,49.6
610,dem611,4694.0,51.03
611,dem612,3676.0,50.69
612,dem613,6993.0,50.82
613,dem614,27665.0,49.23
614,dem615,207332.0,52.79
615,dem616,13394.0,50.41
616,dem617,5974.0,47.42
617,dem618,9187.0,49.73
618,dem619,5846.0,45.25
619,dem620,14872.0,49.08
620,dem621,19875.0,46.57
621,dem622,7177.0,50.2
622,dem623,35762.0,51.26
623,dem624,6003.0,48.94
624,dem625,1931.0,49.11
625,dem626,3633.0,47.68
626,dem627,11577.0,50.3
627,dem628,7348.0,48.39
628,dem629,2749.0,44.85
629,dem630,43221.0,47.96
630,dem631,272752.0,50.62
631,dem632,35285.0,49.3
632,dem633,12393.0,48.13
633,dem634,30850.0,48.95
634,dem635,33593.0,49.54
635,dem636,61581.0,50.36
636,dem637,15136.0,48.7
637,dem638,20102.0,49.36
638,dem639,7809.0,48.22
639,dem640,268662.0,51.54
640,dem641,91855.0,51.66
641,dem642,24576.0,50.79
642,dem643,10632.0,50.27
643,dem644,3786.0,49.99
644,dem645,19576.0,48.88
645,dem646,18708.0,50.33
646,dem647,15363.0,49.8
647,dem648,100391.0,51.29
648,dem649,3834.0,49.32
649,dem650,3878.0,48.09
650,dem651,5560.0,47.22
651,dem652,5306.0,49.06
652,dem653,8593.0,48.86
653,dem654,4985.0,47.83
654,dem655,11528.0,46.56
655,dem656,63726.0,50.3
656,dem657,13053.0,49.09
657,dem658,3257.0,48.94
658,dem659,3172.0,48.65
659,dem660,30420.0,49.28
660,dem661,4558.0,49.06
661,dem662,3595.0,49.01
662,dem663,36546.0,49.86
663,dem664,15697.0,50.32
664,dem665,8241.0,50.37
665,dem666,188084.0,52.09
666,dem667,35708.0,46.86
667,dem668,9787.0,47.8
668,dem669,26430.0,48.64
669,dem670,16960.0,49.76
670,dem671,11933.0,49.99
671,dem672,9410.0,49.22
672,dem673,2863.0,51.26
673,dem674,17070.0,47.35
674,dem675,7737.0,48.26
675,dem676,32852.0,49.71
676,dem677,19152.0,50.08
677,dem678,29432.0,50.99
678,dem679,17695.0,49.44
679,dem680,11998.0,49.08
680,dem681,774.0,45.05
681,dem682,5844.0,48.7
682,dem683,18152.0,49.24
683,dem684,6075.0,48.55
684,dem685,4037.0,46.2
685,dem686,8942.0,50.24
686,dem687,8268.0,47.63
687,dem688,5826.0,47.74
688,dem689,18710.0,49.88
689,dem690,87635.0,50.48
690,dem691,30299.0,50.75
691,dem692,23163.0,49.56
692,dem693,25520.0,47.78
693,dem694,22205.0,52.63
694,dem695,56155.0,51.57
695,dem696,8049.0,49.94
696,dem697,6313.0,49.25
697,dem698,113578.0,52.59
698,dem699,9498.0,49.8
699,dem700,20953.0,50.49
700,dem701,19324.0,52.56
701,dem702,7773.0,50.2
702,dem703,7714.0,50.43
703,dem704,183763.0,52.2
704,dem705,6154.0,50.69
705,dem706,6302.0,52.6
706,dem707,18081.0,52.8
707,dem708,84577.0,51.52
708,dem709,29664.0,51.41
709,dem710,29554.0,52.0
710,dem711,72876.0,53.35
711,dem712,48068.0,51.58
712,dem713,9113.0,50.15
713,dem714,14414.0,50.38
714,dem715,12378.0,50.73
715,dem716,66923.0,52.15
716,dem717,162703.0,52.45
717,dem718,7881.0,49.79
718,dem719,8574.0,49.42
719,dem720,11607.0,51.55
720,dem721,1194106.0,53.27
721,dem722,71388.0,51.49
722,dem723,13986.0,49.98
723,dem724,8829.0,49.61
