,idEdu,coberturaNeta
543,edu544,56.04
544,edu545,87.15
545,edu546,77.12
546,edu547,0.0
547,edu548,67.91
548,edu549,72.67
549,edu550,68.56
550,edu551,66.65
551,edu552,62.99
552,edu553,59.34
553,edu554,55.91
554,edu555,52.59
555,edu556,48.89
556,edu557,72.04
557,edu558,87.32
558,edu559,100.0
559,edu560,105.65
560,edu561,81.8
561,edu562,88.17
562,edu563,92.09
563,edu564,91.71
564,edu565,88.76
565,edu566,88.44
566,edu567,86.6
567,edu568,82.55
568,edu569,77.03
569,edu570,64.18
570,edu571,62.67
571,edu572,55.34
572,edu573,56.07
573,edu574,0.0
574,edu575,60.72
575,edu576,88.13
576,edu577,66.05
577,edu578,62.52
578,edu579,63.1
579,edu580,62.94
580,edu581,55.94
581,edu582,47.85
582,edu583,81.72
583,edu584,0.0
584,edu585,65.15
585,edu586,62.82
586,edu587,75.85
587,edu588,79.78
588,edu589,70.06
589,edu590,61.57
590,edu591,73.82
591,edu592,61.62
592,edu593,77.41
593,edu594,122.09
594,edu595,120.3
595,edu596,121.79
596,edu597,119.58
597,edu598,123.18
598,edu599,123.73
599,edu600,125.21
600,edu601,102.73
601,edu602,101.03
602,edu603,0.0
603,edu604,89.44
604,edu605,77.74
605,edu606,94.51
606,edu607,92.6
607,edu608,87.43
608,edu609,82.94
609,edu610,75.63
610,edu611,96.49
611,edu612,73.21
612,edu613,174.22
613,edu614,0.0
614,edu615,63.62
615,edu616,63.28
616,edu617,56.8
617,edu618,55.79
618,edu619,53.89
619,edu620,72.73
620,edu621,65.68
621,edu622,71.28
622,edu623,0.0
623,edu624,60.75
624,edu625,86.32
625,edu626,84.75
626,edu627,82.64
627,edu628,81.17
628,edu629,77.32
629,edu630,71.98
630,edu631,70.94
631,edu632,86.61
632,edu633,87.61
633,edu634,84.92
634,edu635,84.05
635,edu636,77.04
636,edu637,85.36
637,edu638,66.02
638,edu639,79.65
639,edu640,0.0
640,edu641,82.44
641,edu642,89.12
642,edu643,85.18
643,edu644,81.61
644,edu645,93.36
645,edu646,94.22
646,edu647,97.24
647,edu648,93.18
648,edu649,90.45
649,edu650,93.45
650,edu651,98.81
651,edu652,100.69
652,edu653,100.37
653,edu654,103.13
654,edu655,101.58
655,edu656,101.14
656,edu657,117.55
657,edu658,107.3
658,edu659,0.0
659,edu660,0.0
660,edu661,0.0
661,edu662,0.0
662,edu663,0.0
663,edu664,0.0
664,edu665,0.0
665,edu666,0.0
666,edu667,0.0
667,edu668,0.0
668,edu669,0.0
669,edu670,0.0
670,edu671,0.0
671,edu672,0.0
672,edu673,0.0
673,edu674,0.0
674,edu675,0.0
675,edu676,0.0
676,edu677,0.0
677,edu678,0.0
678,edu679,0.0
679,edu680,0.0
680,edu681,0.0
681,edu682,0.0
682,edu683,0.0
683,edu684,0.0
684,edu685,0.0
685,edu686,0.0
686,edu687,0.0
687,edu688,0.0
688,edu689,0.0
689,edu690,0.0
690,edu691,0.0
691,edu692,0.0
692,edu693,0.0
693,edu694,0.0
694,edu695,0.0
695,edu696,0.0
696,edu697,0.0
697,edu698,0.0
698,edu699,0.0
699,edu700,0.0
700,edu701,0.0
701,edu702,0.0
702,edu703,0.0
703,edu704,0.0
704,edu705,0.0
705,edu706,0.0
706,edu707,0.0
707,edu708,0.0
708,edu709,0.0
709,edu710,0.0
710,edu711,0.0
711,edu712,0.0
712,edu713,0.0
713,edu714,0.0
714,edu715,0.0
715,edu716,0.0
716,edu717,0.0
717,edu718,0.0
718,edu719,0.0
719,edu720,0.0
720,edu721,0.0
721,edu722,0.0
722,edu723,0.0
723,edu724,0.0
724,edu725,0.0
725,edu726,0.0
726,edu727,0.0
727,edu728,0.0
728,edu729,0.0
729,edu730,0.0
730,edu731,0.0
731,edu732,0.0
732,edu733,0.0
733,edu734,0.0
734,edu735,0.0
735,edu736,0.0
736,edu737,0.0
737,edu738,0.0
738,edu739,0.0
739,edu740,0.0
740,edu741,0.0
741,edu742,0.0
742,edu743,0.0
743,edu744,0.0
744,edu745,0.0
745,edu746,0.0
746,edu747,0.0
747,edu748,0.0
748,edu749,0.0
749,edu750,0.0
750,edu751,0.0
