,idVio,homiMuj,violenciaMuj,tasaVioMuj,cSecuestros,cDesplazadas,cDesplaExp,cHomicidios
153,vio154,0.0,0.0,1108.0,0,0,0,440.0
154,vio155,0.0,0.0,0.0,0,0,0,2040.0
155,vio156,0.0,210.0,858.0,0,0,0,24100.0
156,vio157,0.0,10.0,0.0,0,0,0,6200.0
157,vio158,0.0,0.0,0.0,0,0,0,140.0
158,vio159,0.0,0.0,178.0,0,0,0,5050.0
159,vio160,0.0,40.0,3952.0,0,0,0,6980.0
160,vio161,0.0,0.0,0.0,0,0,0,770.0
161,vio162,0.0,130.0,3019.0,0,0,0,20280.0
162,vio163,0.0,0.0,1312.0,0,0,0,800.0
163,vio164,0.0,0.0,0.0,0,0,0,1240.0
164,vio165,0.0,0.0,1442.0,0,0,0,260.0
165,vio166,0.0,50.0,0.0,0,0,0,9020.0
166,vio167,0.0,40.0,0.0,0,0,0,14120.0
167,vio168,0.0,0.0,0.0,0,0,0,4470.0
168,vio169,0.0,10.0,0.0,0,0,0,3940.0
169,vio170,0.0,0.0,709.0,0,0,0,1560.0
170,vio171,0.0,0.0,2898.0,0,0,0,170.0
171,vio172,0.0,0.0,0.0,0,0,0,2010.0
172,vio173,0.0,10.0,992.0,0,0,0,1130.0
173,vio174,0.0,0.0,0.0,0,0,0,1370.0
174,vio175,0.0,10.0,1968.0,0,0,0,57830.0
175,vio176,0.0,0.0,1265.0,0,0,0,1420.0
176,vio177,0.0,0.0,4478.0,0,0,0,710.0
177,vio178,0.0,0.0,1437.0,0,0,0,160.0
178,vio179,0.0,60.0,1035.0,0,0,0,960.0
179,vio180,0.0,0.0,145.0,0,0,0,12860.0
180,vio181,0.0,30.0,1755.0,0,0,0,15680.0
181,vio182,0.0,110.0,514.0,0,0,0,14410.0
182,vio183,0.0,50.0,1551.0,0,0,0,6740.0
183,vio184,0.0,0.0,1381.0,0,0,0,1880.0
184,vio185,0.0,0.0,103.0,0,0,0,570.0
185,vio186,0.0,0.0,1869.0,0,0,0,2960.0
186,vio187,0.0,0.0,0.0,0,0,0,1280.0
187,vio188,0.0,0.0,1034.0,0,0,0,28430.0
188,vio189,0.0,0.0,0.0,0,0,0,550.0
189,vio190,0.0,0.0,2009.0,0,0,0,2940.0
190,vio191,0.0,40.0,136.0,0,0,0,35850.0
191,vio192,0.0,0.0,148.0,0,0,0,680.0
192,vio193,0.0,380.0,2998.0,0,0,0,37710.0
193,vio194,0.0,0.0,0.0,0,0,0,520.0
194,vio195,0.0,0.0,555.0,0,0,0,110.0
195,vio196,0.0,0.0,0.0,0,0,0,200.0
196,vio197,0.0,0.0,0.0,0,0,0,0.0
197,vio198,0.0,0.0,705.0,0,0,0,310.0
198,vio199,0.0,0.0,4441.0,0,0,0,230.0
199,vio200,0.0,0.0,2074.0,0,0,0,15050.0
200,vio201,0.0,0.0,0.0,0,0,0,570.0
201,vio202,0.0,0.0,1075.0,0,0,0,7070.0
202,vio203,0.0,0.0,297.0,0,0,0,290.0
203,vio204,0.0,0.0,0.0,0,0,0,9400.0
204,vio205,0.0,0.0,153.0,0,0,0,1080.0
205,vio206,0.0,0.0,0.0,0,0,0,4490.0
206,vio207,0.0,30.0,1991.0,0,0,0,7280.0
207,vio208,0.0,0.0,49.0,0,0,0,7440.0
208,vio209,0.0,40.0,394.0,0,0,0,11720.0
209,vio210,0.0,0.0,1187.0,0,0,0,1310.0
210,vio211,0.0,1180.0,240.0,0,0,0,152460.0
211,vio212,0.0,80.0,723.0,0,0,0,30590.0
212,vio213,0.0,240.0,4043.0,0,0,0,36970.0
213,vio214,0.0,300.0,291.0,0,0,0,60610.0
214,vio215,0.0,220.0,0.0,0,0,0,37060.0
215,vio216,0.0,320.0,3234.0,0,0,0,58940.0
216,vio217,0.0,40.0,0.0,0,0,0,15560.0
217,vio218,0.0,0.0,0.0,0,0,0,1640.0
218,vio219,0.0,330.0,887.0,0,0,0,20470.0
219,vio220,0.0,1220.0,1836.0,0,0,0,96900.0
220,vio221,0.0,100.0,2085.0,0,0,0,16220.0
221,vio222,0.0,500.0,895.0,0,0,0,56100.0
222,vio223,0.0,160.0,865.0,0,0,0,26030.0
223,vio224,0.0,1080.0,0.0,0,0,0,29050.0
224,vio225,0.0,80.0,1075.0,0,0,0,9430.0
225,vio226,0.0,150.0,3482.0,0,0,0,51670.0
226,vio227,0.0,0.0,1131.0,0,0,0,10150.0
227,vio228,0.0,0.0,0.0,0,0,0,1780.0
228,vio229,0.0,1000.0,2015.0,0,0,0,415780.0
229,vio230,0.0,280.0,2537.0,0,0,0,19020.0
230,vio231,0.0,50.0,277.0,0,0,0,63970.0
231,vio232,0.0,890.0,4237.0,0,0,0,295380.0
232,vio233,0.0,550.0,3208.0,0,0,0,101650.0
233,vio234,0.0,0.0,1867.0,0,0,0,10530.0
234,vio235,0.0,130.0,268.0,0,0,0,9300.0
235,vio236,0.0,270.0,322.0,0,0,0,29290.0
236,vio237,0.0,50.0,2124.0,0,0,0,119870.0
237,vio238,0.0,2350.0,1942.0,0,0,0,982700.0
238,vio239,0.0,0.0,0.0,0,0,0,74110.0
239,vio240,0.0,430.0,2724.0,0,0,0,252680.0
240,vio241,10.0,630.0,1716.0,0,0,0,476470.0
241,vio242,0.0,270.0,1792.0,0,0,0,86270.0
242,vio243,0.0,40.0,752.0,0,0,0,21840.0
243,vio244,0.0,280.0,2607.0,0,0,0,450900.0
244,vio245,0.0,1010.0,2213.0,0,0,0,109880.0
245,vio246,0.0,320.0,3609.0,0,0,0,45860.0
246,vio247,0.0,50.0,0.0,0,0,0,5530.0
247,vio248,0.0,60.0,981.0,0,0,0,7240.0
248,vio249,0.0,80.0,1095.0,0,0,0,18820.0
249,vio250,0.0,310.0,3203.0,0,0,0,105820.0
250,vio251,0.0,80.0,0.0,0,0,0,34020.0
251,vio252,0.0,200.0,219.0,0,0,0,23530.0
252,vio253,0.0,510.0,2164.0,0,0,0,67920.0
253,vio254,0.0,70.0,7408.0,0,0,0,9430.0
254,vio255,0.0,1070.0,5321.0,0,0,0,79090.0
255,vio256,0.0,650.0,2042.0,0,0,0,48980.0
256,vio257,0.0,180.0,8339.0,0,0,0,109920.0
257,vio258,0.0,60.0,2816.0,0,0,0,11720.0
258,vio259,0.0,110.0,971.0,0,0,0,12100.0
259,vio260,0.0,390.0,751.0,0,0,0,34150.0
260,vio261,0.0,860.0,1198.0,0,0,0,132820.0
261,vio262,20.0,4680.0,6066.0,0,0,0,296620.0
262,vio263,0.0,30.0,0.0,0,0,0,1010.0
263,vio264,0.0,10.0,0.0,0,0,0,16590.0
264,vio265,0.0,340.0,248.0,0,0,0,115020.0
265,vio266,0.0,2750.0,4293.0,0,0,0,391470.0
266,vio267,0.0,0.0,1562.0,0,0,0,5000.0
267,vio268,0.0,0.0,1127.0,0,0,0,950.0
268,vio269,0.0,0.0,1666.0,0,0,0,1000.0
269,vio270,0.0,410.0,1516.0,0,0,0,62650.0
270,vio271,0.0,560.0,0.0,0,0,0,25880.0
271,vio272,0.0,420.0,1168.0,0,0,0,19950.0
272,vio273,0.0,80.0,149.0,0,0,0,63820.0
273,vio274,0.0,1980.0,5446.0,0,0,0,86390.0
274,vio275,0.0,370.0,2677.0,0,0,0,18600.0
275,vio276,0.0,50.0,838.0,0,0,0,5070.0
276,vio277,0.0,1600.0,3336.0,0,0,0,128880.0
277,vio278,0.0,2340.0,4457.0,0,0,0,147600.0
278,vio279,0.0,330.0,1943.0,0,0,0,15250.0
279,vio280,0.0,160.0,578.0,0,0,0,24770.0
280,vio281,0.0,10490.0,2734.0,0,0,0,105820.0
281,vio282,0.0,0.0,4899.0,0,0,0,1020.0
282,vio283,10.0,26760.0,10177.0,0,0,0,1410210.0
283,vio284,0.0,230.0,99.0,0,0,0,9810.0
284,vio285,0.0,90.0,896.0,0,0,0,1660.0
285,vio286,10.0,4190.0,3833.0,0,0,0,280730.0
286,vio287,0.0,1260.0,1033.0,0,0,0,86550.0
287,vio288,0.0,90.0,0.0,0,0,0,20210.0
288,vio289,0.0,0.0,0.0,0,0,0,2710.0
289,vio290,10.0,110.0,219.0,0,0,0,26230.0
290,vio291,0.0,0.0,5498.0,0,0,0,850.0
291,vio292,0.0,20.0,1798.0,0,0,0,3950.0
292,vio293,30.0,20.0,0.0,0,0,0,7440.0
293,vio294,0.0,0.0,0.0,0,0,0,2790.0
294,vio295,0.0,400.0,171.0,0,0,0,36980.0
295,vio296,0.0,0.0,7576.0,0,0,0,3030.0
296,vio297,0.0,10.0,0.0,0,0,0,3570.0
297,vio298,0.0,220.0,0.0,0,0,0,38270.0
298,vio299,0.0,80.0,765.0,0,0,0,11840.0
299,vio300,10.0,1970.0,4111.0,0,0,0,131830.0
300,vio301,0.0,90.0,859.0,0,0,0,6060.0
301,vio302,0.0,0.0,0.0,0,0,0,800.0
302,vio303,0.0,0.0,1124.0,0,0,0,14200.0
303,vio304,0.0,70.0,5311.0,0,0,0,1920.0
304,vio305,0.0,0.0,701.0,0,0,0,2110.0
305,vio306,20.0,2560.0,6193.0,0,0,0,158410.0
306,vio307,0.0,5120.0,18967.0,0,0,0,668230.0
307,vio308,0.0,110.0,579.0,0,0,0,15460.0
308,vio309,0.0,1060.0,4748.0,0,0,0,30110.0
309,vio310,0.0,1160.0,2867.0,0,0,0,55570.0
310,vio311,0.0,0.0,4741.0,0,0,0,5140.0
311,vio312,0.0,110.0,4689.0,0,0,0,29440.0
312,vio313,0.0,140.0,3417.0,0,0,0,16590.0
313,vio314,0.0,70.0,1265.0,0,0,0,5500.0
314,vio315,0.0,390.0,1823.0,0,0,0,60310.0
315,vio316,0.0,8520.0,734.0,0,0,0,145520.0
316,vio317,0.0,20.0,1476.0,0,0,0,129960.0
317,vio318,0.0,90.0,3717.0,0,0,0,10290.0
318,vio319,0.0,50.0,5701.0,0,0,0,39210.0
319,vio320,0.0,620.0,1816.0,0,0,0,77410.0
320,vio321,0.0,0.0,1912.0,0,0,0,3810.0
321,vio322,0.0,0.0,0.0,0,0,0,1310.0
322,vio323,0.0,0.0,1406.0,0,0,0,840.0
323,vio324,0.0,1300.0,1513.0,0,0,0,396860.0
324,vio325,0.0,0.0,0.0,0,0,0,16180.0
325,vio326,0.0,0.0,0.0,0,0,0,250.0
326,vio327,0.0,30.0,0.0,0,0,0,9810.0
327,vio328,0.0,30.0,964.0,0,0,0,4720.0
328,vio329,0.0,0.0,0.0,0,0,0,5410.0
329,vio330,0.0,120.0,1062.0,0,0,0,83100.0
330,vio331,0.0,0.0,0.0,0,0,0,4990.0
331,vio332,0.0,0.0,0.0,0,0,0,910.0
332,vio333,0.0,70.0,0.0,0,0,0,55970.0
333,vio334,0.0,0.0,60.0,0,0,0,10960.0
334,vio335,0.0,0.0,0.0,0,0,0,4860.0
335,vio336,0.0,20.0,998.0,0,0,0,29040.0
336,vio337,0.0,30.0,1297.0,0,0,0,49640.0
337,vio338,0.0,0.0,3941.0,0,0,0,6360.0
338,vio339,0.0,0.0,0.0,0,0,0,1080.0
339,vio340,0.0,0.0,0.0,0,0,0,6120.0
340,vio341,0.0,80.0,0.0,0,0,0,12780.0
341,vio342,0.0,60.0,0.0,0,0,0,25350.0
342,vio343,0.0,10.0,919.0,0,0,0,6410.0
343,vio344,0.0,0.0,0.0,0,0,0,1850.0
344,vio345,0.0,100.0,832.0,0,0,0,16050.0
345,vio346,0.0,0.0,1861.0,0,0,0,460.0
346,vio347,0.0,150.0,1874.0,0,0,0,80960.0
347,vio348,0.0,180.0,3274.0,0,0,0,95070.0
348,vio349,0.0,70.0,219.0,0,0,0,3360.0
349,vio350,0.0,0.0,235.0,0,0,0,1950.0
350,vio351,0.0,30.0,0.0,0,0,0,1610.0
351,vio352,0.0,40.0,0.0,0,0,0,108920.0
352,vio353,0.0,60.0,3638.0,0,0,0,22610.0
353,vio354,0.0,0.0,2197.0,0,0,0,880.0
354,vio355,0.0,0.0,528.0,0,0,0,8370.0
